dc:identifier,dc:name,ayto:url_imagen,dc:description,ayto:descrip_es,ayto:descrip_en,ayto:direccion,ayto:telefono,ayto:email,ayto:website,ayto:blog,ayto:facebook,ayto:twitter,ayto:googlePlus,ayto:instagram,ayto:longitud,ayto:latitud,ayto:id_categoria,ayto:categoria,ayto:ico_categoria,ayto:accesible,ayto:fecha_modificacion,dc:modified,uri
BAR168,Taberna Al Punto,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,"Taberna junto al Paseo de Pereda  con carta de pinchos\, platos y raciones con cocina abierta en horario continuado.","Taberna con carta de pinchos\, platos y raciones con cocina abierta en horario continuado.\n\nLa Taberna Al Punto se sitúa en la calle Ataulfo Argenta\, en el centro de la ciudad y próximo a Puertochico.\n",mj,Calle Ataulfo Argenta nº 70,942226976,administracion@grupobavare.com,www.tabernasalpunto.com,,https://www.facebook.com/tabernasalpunto.alpunto,@AlPunto_,,,-3.798198296121768,43.46284490481236,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,1,2016-02-23T11:38:24.000Z,2017-10-31T15:02:07.596Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar168.csv
"",Pulpería Arrocería el Molinuco,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,"Restaurante situado en San Pedro del Mar. Ofrece producto de calidad. Destacan los pescados y mariscos. Tiene un local con dos grandes salones\, gran terraza y un pequeño jardín.","Restaurante situado en San Pedro del Mar\, próximo a la playa de la Maruca. Tiene un local con dos grandes salones\, gran terraza y un pequeño jardín.\n\nEn el restaurante se ofrecen productos de calidad. Destacan los pescados y mariscos\, de manera especial el pulpo y los arroces.",,Calle San Pedro del Mar nº 94,942.32.01.25,,,,https://www.facebook.com/pages/El-Molinuco,,,,-3.8324424003304784,43.47357275438535,9,Restaurantes,,0,2016-02-24T10:20:19.000Z,2017-10-31T15:02:07.596Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/.csv
BAR3043,Terraza Asador Bellavista,https://farm8.staticflickr.com/7559/15870794352_14fbb288c0.jpg,,,mj,Calle Inés Diego del Noval nº 19,942390103,,,,https://www.facebook.com/pages/Bellavista-Bar-Terraza-Asador/259309510873697,,,,-3.7980640382510273,43.48420105351926,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-08-04T09:29:26.000Z,2017-10-31T15:02:07.595Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3043.csv
BAR3039,Bar El Panel,https://farm8.staticflickr.com/7476/15673575170_a79755ac36.jpg,,,,Peña Herbosa 9,942070532,barelpanel@gmail.com,www.barelpanel.com,,https://www.facebook.com/pages/Bar-El-Panel/279353358760358,,,," -3.7991263405227755",43.46344654627025,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-06-12T13:23:32.000Z,2017-10-31T15:02:07.595Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3039.csv
BAR3038,Bar Nido del Cuco,https://farm8.staticflickr.com/7502/15673346138_5cf8b615de.jpg,"Cocktail bar\, apasionados de este mundo\, nos vuelve locos experimentar con nuestras bebidas","En nuestro Cocktail Bar\, puedes encontrar todo tipo de bebidas espirituosas\, ademas de poder degustar los mejores cocktails y combinados\, nos dedicamos a esto en cuerpo y alma y solo queremos cada dia mejorar un poquito mas\, porque siempre se puede mejorar\,""Un Cocktail\, una sonrisa""",,Castelar 5,,javiquintadelasota@hotmail.com,,,https://www.facebook.com/pages/El-Nido-del-Cuco/309507925781137,,,," -3.7956797019386386",43.46322461257956,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-06-12T13:23:39.000Z,2017-10-31T15:02:07.595Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3038.csv
BAR3036,El mono que chilla,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,,,,Calle del Carmen 5,629041969,elmonoquechilla@hotmail.es,,,https://www.facebook.com/pages/El-Mono-que-Chilla/131021580333157,,,," -3.802237702980051",43.46473919648625,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-17T11:06:37.000Z,2017-10-31T15:02:07.595Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3036.csv
BAR3033,Pulperia El Encuentro,http://ar.smartsantander.eu/butler/server/photos/3033.jpg,"Pulpería próxima a General Dávila que cuenta con una carta a base de raciones de pulpo\, mejillones\, pimientos rellenos\, croquetas\, revueltos\, etc.","Pulpería próxima a General Dávila que cuenta con una carta a base de raciones de pulpo\, mejillones\, pimientos rellenos\, croquetas\, revueltos\, etc.\n\nEl local se distribuye en una planta con barra y mesas y un comedor en la planta superior. ",,Calle Fernando de los Ríos nº 67,942313821,,,,https://www.facebook.com/bodega.elencuentro.tapasyraciones,,,,-3.80292732570058,43.46924903275811,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-08-13T12:13:17.000Z,2017-10-31T15:02:07.595Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3033.csv
BAR3032,Pub El emboque,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,,,,Calle Pedrueca 8,942 36 14 25,,,,,,,," -3.8033695951843356",43.46318957034338,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-17T11:02:18.000Z,2017-10-31T15:02:07.595Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3032.csv
BAR3031,Café Bar El Diluvio,https://farm8.staticflickr.com/7534/15673235430_01959a4480.jpg,"Para llevar\, Catering y Mesas en el exterior","Para llevar\, Catering y Mesas en el exterior",,Calle General Mola 14,942218563,diluviocatering@hotmail.com,,,https://www.facebook.com/pages/El-Diluvio/164171293670398,,,," -3.804238630905161",43.46204484612603,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-17T10:58:08.000Z,2017-10-31T15:02:07.595Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3031.csv
BAR3029,Bar El Deporte,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,,,,Avenida Cardenal Herrera Oria 31,942324568,,,,,,,," -3.843559815063486",43.45850151474615,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-08-12T07:28:11.000Z,2017-10-31T15:02:07.595Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3029.csv
BAR3019,Portobello 5 Café&Copas,https://farm6.staticflickr.com/5605/15649211607_7bc55e4f36.jpg,,,,Peña Herbosa 5,,,,,https://www.facebook.com/pages/Portobello-5,,,," -3.799214853420267",43.463450439836485,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-06-12T13:24:54.000Z,2017-10-31T15:02:07.595Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3019.csv
BAR3013,Cervecería La Cruz Blanca,https://farm8.staticflickr.com/7551/15835706492_b3a5578ee8.jpg,La Cervecería La Cruz Blanca de Santander está especializada en la gastronomía alemana autóctona y sus cervezas.\n\n,La Cervecería La Cruz Blanca de Santander (ajena a la franquicia creada por la marca Cruzcampo)está especializada en la gastronomía alemana autóctona y sus cervezas (en la Cruz Blanca hay más de 30 tipos diferentes).,"La Cruz Blanca of Santander (different from the chain\, created by the brand Cruzcampo)is a beer hall which offers the typical German gastronomy and beers (more than 30 different kinds in La Cruz Blanca).\n",Calle Hernán Cortés nº  24,942364295,info@cruzblancasantander.es,http://cruzblancasantander.com/,,,,,,-3.7996475741646236,43.46306191097985,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-08-10T10:16:22.000Z,2017-10-31T15:02:07.595Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3013.csv
BAR3005,Bar Beifer,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,,,,Marqués de la Hermida 12,942052838,,,,,,,," -3.8257499472045993",43.45206068620632,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-17T10:15:01.000Z,2017-10-31T15:02:07.595Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3005.csv
BAR3001,Restaurante Barlovento,https://farm6.staticflickr.com/5611/15642540730_205886ebe8.jpg,"El Restaurante Barlovento\, ubicado en la zona portuaria de Santander\, está especializado en pescados y mariscos.","El Restaurante Barlovento\, ubicado en la zona portuaria de Santander\, está especializado en pescados y mariscos.\n",Barlovento restaurant placed in the harbour area of Santander is specialised in fish and seafood.,Calle Marqués de la Hermida nº 70,942074058,,,,https://www.facebook.com/pages/RESTAURANTE-BARLOVENTO/250507225000262,,,,-3.8234521792536497,43.45285593832855,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-08-07T11:04:32.000Z,2017-10-31T15:02:07.595Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3001.csv
BAR3073,La Chirigota,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,,,,Paseo General Dávila 41,942070183,,,,,,,," -3.8017173544311618",43.467635878523204,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-17T12:07:54.000Z,2017-10-31T15:02:07.594Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3073.csv
BAR3071,Restaurante Tapas y Picoteo La Catedra,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,"Local pequeño situado en el centro\, en una calle peatonal. Tiene terraza. En su carta hay ensaladas\, sartenes\, raciones\, etc.","Local pequeño situado en el centro\, en una calle peatonal. Tiene terraza. En su carta hay ensaladas\, sartenes\, raciones\, etc.",,Calle Del Medio nº 5,942760126,lacatedra.santander@hotmail.com,,,https://www.facebook.com/pages/La-Catedra-Santander/967294136742407,,,,-3.805066548315949,43.46284165210967,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2016-02-23T12:39:00.000Z,2017-10-31T15:02:07.594Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3071.csv
BAR3068,Bar La Calle,https://farm8.staticflickr.com/7522/15874814612_72d05ec2e4.jpg,Mítico bar de Santander situado en plena zona de copas y de celebraciones deportivas,"Mítico bar de Santander situado en plena zona de copas y de celebraciones deportivas; en pleno centro turístico. Bar caracterizado por su buen ambiente\, su música\, sus copas preparadas y sus cócteles.",,Calle Gómez Oreña,,,,,https://www.facebook.com/barlacalleSantander,,,," -3.8022430673980807",43.46359060805444,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-06-12T13:26:19.000Z,2017-10-31T15:02:07.594Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3068.csv
BAR3064,Pub La Bisagra,https://farm8.staticflickr.com/7581/15873393141_85d97936da.jpg,"Bar de copas\, amantes del Gin & Tonic\, un clásico del Rio de la Pila","Bar de copas\, amantes del Gin & Tonic\, un clásico del Rio de la Pila\, y la mejor opción para disfrutar de la noche con estilo\, calidad y un agradable ambiente.",,"Travesía Río de la Pila\, 4",942 36 54 15,,,,https://www.facebook.com/LaBisagraSantander,https://twitter.com/la_bisagra,https://plus.google.com/112324624563841997243/about?gl=es&hl=es,," -3.804131342544565",43.46479759870482,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-06-12T13:25:56.000Z,2017-10-31T15:02:07.594Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3064.csv
BAR3063,Café Bar La Barruca,https://farm9.staticflickr.com/8599/15874715782_49f8b33f8d.jpg,La Cafetería la Barruca está especializada en desayunos con una gran variedad de pinchos y tortillas,"Cafetería La Barruca (Frente al cine los Ángeles) tiene una gran variedad de pinchos y más de 10 tipos de tortillas individuales para la hora del desayuno. \n\nMenú del día a la hora de comer\, con 5 primeros y segundos. Comida 100 % casera por sólo 9 euros. \n\nPara cenar gran variedad de platos\, pinchos a 1 ?\, destacando los cañonazos de sándwich y hamburguesa con patatas y bebida por 5\,50 ?. También tenemos raciones y bocadillos. ",,Calle Ruamayor 5,942215825,,,,https://www.facebook.com/Labarrucasantander,,https://plus.google.com/108534861305999499981/about?gl=es&hl=es,," -3.8096352354431247",43.46075213829827,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-06-12T13:22:19.000Z,2017-10-31T15:02:07.594Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3063.csv
BAR3062,Las Campanillas,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,Vinoteca situada en la calle Vargas que dispone de una pequeña terraza.,Vinoteca situada en la calle Vargas que dispone de una pequeña terraza.,,Calle Vargas nº 37,942071131,,,,,,https://plus.google.com/114928188874636395017/about?gl=es&hl=es,," -3.818668915405283",43.460343294226114,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2016-02-23T12:26:00.000Z,2017-10-31T15:02:07.594Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3062.csv
BAR3060,Calasanz Bar,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,,,,Canalejas 8,,,,,,,,," -3.794550491943369",43.46452116103831,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-17T11:56:52.000Z,2017-10-31T15:02:07.594Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3060.csv
BAR3058,Café-Loft La Pereda,https://farm8.staticflickr.com/7489/15687316129_89c1549967.jpg,"Ven a disfrutar de nuestros desayunos\, comidas\, eventos deportivos en pantallas gigantes\, cenas ...","Ven a disfrutar de nuestros desayunos\, comidas\, eventos deportivos en pantallas gigantes\, cenas\, picoteo y las copas de la noche. La mejor opción en Santander",,"C/ Francisco Cáceres\, 1",942 390 737,,,,https://www.facebook.com/cafeloft.lapereda,https://twitter.com/cafeloftpereda,,," -3.795322968139658",43.47965718263204,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-29T08:37:56.000Z,2017-10-31T15:02:07.594Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3058.csv
BAR3054,Pub Cafe Bar F,https://farm8.staticflickr.com/7576/15687208619_c44bec2002.jpg,Un lugar acogedor donde re-encontrarte con el placer y el sabor de una copa bien preparada,"En pleno centro de Santander ""Cañadío""\, te ofrecemos un lugar acogedor donde re-encontrarte con el placer y el sabor de una copa bien preparada.\n\nYa sea para las primeras horas de la noche\, o disfrutar de la diversión en un buen amibente\, ""F Santander"" consigue que tus noches de ocio sean Inolvidables.?",,"Calle Daoiz y Velarde\, 17",,,http://www.fsantander.es,,,https://twitter.com/pubfsantander,,," -3.8012560144806002",43.46330637771828,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-17T11:41:01.000Z,2017-10-31T15:02:07.594Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3054.csv
BAR3053,Cafetería Cabo Quintres,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,,,,Paseo del General Dávila 62,942361090,,,,,,,," -3.7989278570556735",43.46844567878088,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-30T12:12:04.000Z,2017-10-31T15:02:07.594Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3053.csv
BAR3052,Pub Bonsai,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,,,,Calle Fernando de los Ríos 64,942 21 16 01,,,,,,https://plus.google.com/110982326620297489439/about?gl=es&hl=es,," -3.8030906454467868",43.46903744903125,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-17T11:36:33.000Z,2017-10-31T15:02:07.594Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3052.csv
BAR3050,Pub Bogart,https://farm8.staticflickr.com/7479/15684381620_10d7e90698.jpg,,,,Plaza de Cañadío,942 03 22 54,,,,,,https://plus.google.com/117180996931264178012/about?gl=es&hl=es,," -3.8017039433860873",43.46361591617026,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-06-12T13:23:03.000Z,2017-10-31T15:02:07.594Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3050.csv
BAR3049,Bar Valdepeñera,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,,,,Calle San Luis 13,,,,,,,https://plus.google.com/100948181078795591834/about?gl=es&hl=es,," -3.8156862989807223",43.46171777808279,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-29T08:30:44.000Z,2017-10-31T15:02:07.594Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3049.csv
BAR3048,Pub Blues,https://farm8.staticflickr.com/7548/15251967783_cd00ca90d9.jpg,Desde 1988 Las mejores copas en la plaza de Cañadío,"Uno de los locales con más solera de Santander.\nEn su pista se reúne la gente más guapa de la ciudad.\nNuestro ambiente se transforma con las horas\, pasando de la tranquilidad de la tarde al desenfreno de la noche. ",,Gómez Oreña 15,,bluessantander@gmail.com,,,http://www.facebook.com/blues.santander,,,," -3.8019426599884127",43.46361786294796,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-17T11:30:34.000Z,2017-10-31T15:02:07.594Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3048.csv
BAR3046,Black Bird Culture i Music Club,https://farm8.staticflickr.com/7546/15869554711_f390bc7af1.jpg,Le woodstock producciones les presenta el nuevo espacio ecléctico del centro de santander.,Le woodstock producciones les presenta el nuevo espacio ecléctico del centro de santander. Todo tipo de eventos,,Calle Vista Alegre 13,629041969,,www.musikaze.com/blackbird,,https://www.facebook.com/Blackbirdclub,,,," -3.809721066131601",43.46496501808538,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-06-12T13:23:17.000Z,2017-10-31T15:02:07.594Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3046.csv
BAR3044,Bianco Lounge Bar,https://farm8.staticflickr.com/7493/15685709617_2f6b67f984.jpg,,,,Calle Los Aguayos sn,603598988,,,,https://www.facebook.com/pages/Bianco-lounge-bar/456915607723691,,,," -3.804131342544565",43.46493387032875,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-06-12T13:23:24.000Z,2017-10-31T15:02:07.594Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3044.csv
BAR3117,La Marea,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,,,,"La Albericia 48\, Santander",942765062,,,,,,,," -3.8379727736854647",43.462732072618735,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-20T08:40:13.000Z,2017-10-31T15:02:07.593Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3117.csv
